#Frame      Pop:0    Pop:1    Pop:2    Pop:3    Pop:4    Pop:5    Pop:6    Pop:7    Pop:8    Pop:9
      73    0.863    0.137    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
      74    0.865    0.135    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
      75    0.867    0.133    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
      76    0.868    0.132    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
      77    0.870    0.130    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
      78    0.872    0.128    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
      79    0.873    0.127    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
      80    0.875    0.125    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
      81    0.877    0.123    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
      82    0.878    0.122    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
      83    0.880    0.120    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
      84    0.881    0.119    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
      85    0.882    0.118    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
      86    0.884    0.116    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
      87    0.885    0.115    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
      88    0.886    0.114    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
      89    0.888    0.112    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
      90    0.889    0.111    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
      91    0.890    0.110    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
      92    0.891    0.109    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
      93    0.892    0.108    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
      94    0.894    0.106    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
      95    0.895    0.105    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
      96    0.896    0.104    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
      97    0.897    0.103    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
      98    0.898    0.102    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
      99    0.899    0.101    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
     100    0.900    0.100    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
     101    0.901    0.099    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
     102    0.902    0.098    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
     103    0.903    0.097    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
     104    0.904    0.096    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
     105    0.905    0.095    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
     106    0.906    0.094    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
     107    0.907    0.093    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
     108    0.907    0.093    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
     109    0.908    0.092    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
     110    0.909    0.091    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
     111    0.910    0.090    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
     112    0.911    0.089    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
     113    0.912    0.088    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
     114    0.912    0.088    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
     115    0.913    0.087    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
     116    0.914    0.086    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
     117    0.915    0.085    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
     118    0.915    0.085    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
     119    0.916    0.084    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
     120    0.917    0.083    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
     121    0.917    0.083    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
     122    0.918    0.082    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
     123    0.919    0.081    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
     124    0.919    0.081    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
     125    0.920    0.080    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
     126    0.921    0.079    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
     127    0.921    0.079    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
     128    0.922    0.078    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
     129    0.922    0.078    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
     130    0.923    0.077    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
     131    0.924    0.076    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
     132    0.924    0.076    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
     133    0.925    0.075    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
     134    0.925    0.075    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
     135    0.926    0.074    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
     136    0.926    0.074    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
     137    0.927    0.073    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
     138    0.928    0.072    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
     139    0.928    0.072    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
     140    0.929    0.071    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
     141    0.929    0.071    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
     142    0.930    0.070    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
     143    0.930    0.070    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
     144    0.931    0.069    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
     145    0.931    0.069    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
     146    0.932    0.068    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
     147    0.932    0.068    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
     148    0.932    0.068    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
     149    0.933    0.067    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
     150    0.933    0.067    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
     151    0.934    0.066    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
     152    0.934    0.066    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
     153    0.935    0.065    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
     154    0.935    0.065    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
     155    0.935    0.065    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
     156    0.936    0.064    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
     157    0.936    0.064    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
     158    0.937    0.063    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
     159    0.937    0.063    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
     160    0.938    0.062    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
     161    0.938    0.062    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
     162    0.938    0.062    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
     163    0.939    0.061    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
     164    0.939    0.061    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
     165    0.939    0.061    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
     166    0.940    0.060    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
     167    0.940    0.060    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
     168    0.940    0.060    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
     169    0.941    0.059    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
     170    0.941    0.059    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
     171    0.942    0.058    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
     172    0.942    0.058    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
     173    0.942    0.058    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
     174    0.943    0.057    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
     175    0.943    0.057    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
     176    0.943    0.057    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
     177    0.944    0.056    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
     178    0.944    0.056    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
     179    0.944    0.056    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
     180    0.944    0.056    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
     181    0.945    0.055    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
     182    0.945    0.055    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
     183    0.945    0.055    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
     184    0.946    0.054    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
     185    0.946    0.054    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
     186    0.946    0.054    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
     187    0.947    0.053    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
     188    0.947    0.053    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
     189    0.947    0.053    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
     190    0.947    0.053    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
     191    0.948    0.052    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
     192    0.948    0.052    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
     193    0.948    0.052    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
     194    0.948    0.052    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
     195    0.949    0.051    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
     196    0.949    0.051    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
     197    0.949    0.051    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
     198    0.949    0.051    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
     199    0.950    0.050    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
     200    0.950    0.050    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
     201    0.950    0.050    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
