#Frame      Pop:0    Pop:1    Pop:2    Pop:3    Pop:4    Pop:5    Pop:6    Pop:7    Pop:8    Pop:9
      73    0.685    0.000    0.000    0.000    0.000    0.000    0.000    0.301    0.014    0.000
      74    0.689    0.000    0.000    0.000    0.000    0.000    0.000    0.297    0.014    0.000
      75    0.693    0.000    0.000    0.000    0.000    0.000    0.000    0.293    0.013    0.000
      76    0.697    0.000    0.000    0.000    0.000    0.000    0.000    0.289    0.013    0.000
      77    0.701    0.000    0.000    0.000    0.000    0.000    0.000    0.286    0.013    0.000
      78    0.705    0.000    0.000    0.000    0.000    0.000    0.000    0.282    0.013    0.000
      79    0.709    0.000    0.000    0.000    0.000    0.000    0.000    0.278    0.013    0.000
      80    0.712    0.000    0.000    0.000    0.000    0.000    0.000    0.275    0.013    0.000
      81    0.716    0.000    0.000    0.000    0.000    0.000    0.000    0.272    0.012    0.000
      82    0.720    0.000    0.000    0.000    0.000    0.000    0.000    0.268    0.012    0.000
      83    0.723    0.000    0.000    0.000    0.000    0.000    0.000    0.265    0.012    0.000
      84    0.714    0.012    0.000    0.000    0.000    0.000    0.000    0.262    0.012    0.000
      85    0.706    0.024    0.000    0.000    0.000    0.000    0.000    0.259    0.012    0.000
      86    0.698    0.035    0.000    0.000    0.000    0.000    0.000    0.256    0.012    0.000
      87    0.690    0.046    0.000    0.000    0.000    0.000    0.000    0.253    0.011    0.000
      88    0.682    0.057    0.000    0.000    0.000    0.000    0.000    0.250    0.011    0.000
      89    0.674    0.067    0.000    0.000    0.000    0.000    0.000    0.247    0.011    0.000
      90    0.667    0.078    0.000    0.000    0.000    0.000    0.000    0.244    0.011    0.000
      91    0.659    0.088    0.000    0.000    0.000    0.000    0.000    0.242    0.011    0.000
      92    0.652    0.098    0.000    0.000    0.000    0.000    0.000    0.239    0.011    0.000
      93    0.645    0.108    0.000    0.000    0.000    0.000    0.000    0.237    0.011    0.000
      94    0.638    0.117    0.000    0.000    0.000    0.000    0.000    0.234    0.011    0.000
      95    0.632    0.126    0.000    0.000    0.000    0.000    0.000    0.232    0.011    0.000
      96    0.625    0.135    0.000    0.000    0.000    0.000    0.000    0.229    0.010    0.000
      97    0.619    0.144    0.000    0.000    0.000    0.000    0.000    0.227    0.010    0.000
      98    0.612    0.153    0.000    0.000    0.000    0.000    0.000    0.224    0.010    0.000
      99    0.606    0.162    0.000    0.000    0.000    0.000    0.000    0.222    0.010    0.000
     100    0.600    0.170    0.000    0.000    0.000    0.000    0.000    0.220    0.010    0.000
     101    0.594    0.178    0.000    0.000    0.000    0.000    0.000    0.218    0.010    0.000
     102    0.588    0.186    0.000    0.000    0.000    0.000    0.000    0.216    0.010    0.000
     103    0.583    0.194    0.000    0.000    0.000    0.000    0.000    0.214    0.010    0.000
     104    0.577    0.202    0.000    0.000    0.000    0.000    0.000    0.212    0.010    0.000
     105    0.571    0.210    0.000    0.000    0.000    0.000    0.000    0.210    0.010    0.000
     106    0.566    0.217    0.000    0.000    0.000    0.000    0.000    0.208    0.009    0.000
     107    0.561    0.224    0.000    0.000    0.000    0.000    0.000    0.206    0.009    0.000
     108    0.556    0.231    0.000    0.000    0.000    0.000    0.000    0.204    0.009    0.000
     109    0.550    0.239    0.000    0.000    0.000    0.000    0.000    0.202    0.009    0.000
     110    0.545    0.245    0.000    0.000    0.000    0.000    0.000    0.200    0.009    0.000
     111    0.541    0.252    0.000    0.000    0.000    0.000    0.000    0.198    0.009    0.000
     112    0.536    0.259    0.000    0.000    0.000    0.000    0.000    0.196    0.009    0.000
     113    0.531    0.265    0.000    0.000    0.000    0.000    0.000    0.195    0.009    0.000
     114    0.526    0.272    0.000    0.000    0.000    0.000    0.000    0.193    0.009    0.000
     115    0.522    0.278    0.000    0.000    0.000    0.000    0.000    0.191    0.009    0.000
     116    0.517    0.284    0.000    0.000    0.000    0.000    0.000    0.190    0.009    0.000
     117    0.513    0.291    0.000    0.000    0.000    0.000    0.000    0.188    0.009    0.000
     118    0.508    0.297    0.000    0.000    0.000    0.000    0.000    0.186    0.008    0.000
     119    0.504    0.303    0.000    0.000    0.000    0.000    0.000    0.185    0.008    0.000
     120    0.500    0.308    0.000    0.000    0.000    0.000    0.000    0.183    0.008    0.000
     121    0.496    0.314    0.000    0.000    0.000    0.000    0.000    0.182    0.008    0.000
     122    0.492    0.320    0.000    0.000    0.000    0.000    0.000    0.180    0.008    0.000
     123    0.488    0.325    0.000    0.000    0.000    0.000    0.000    0.179    0.008    0.000
     124    0.484    0.331    0.000    0.000    0.000    0.000    0.000    0.177    0.008    0.000
     125    0.480    0.336    0.000    0.000    0.000    0.000    0.000    0.176    0.008    0.000
     126    0.476    0.341    0.000    0.000    0.000    0.000    0.000    0.175    0.008    0.000
     127    0.472    0.346    0.000    0.000    0.000    0.000    0.000    0.173    0.008    0.000
     128    0.469    0.352    0.000    0.000    0.000    0.000    0.000    0.172    0.008    0.000
     129    0.465    0.357    0.000    0.000    0.000    0.000    0.000    0.171    0.008    0.000
     130    0.462    0.362    0.000    0.000    0.000    0.000    0.000    0.169    0.008    0.000
     131    0.458    0.366    0.000    0.000    0.000    0.000    0.000    0.168    0.008    0.000
     132    0.455    0.371    0.000    0.000    0.000    0.000    0.000    0.167    0.008    0.000
     133    0.451    0.376    0.000    0.000    0.000    0.000    0.000    0.165    0.008    0.000
     134    0.448    0.381    0.000    0.000    0.000    0.000    0.000    0.164    0.007    0.000
     135    0.444    0.385    0.000    0.000    0.000    0.000    0.000    0.163    0.007    0.000
     136    0.441    0.390    0.000    0.000    0.000    0.000    0.000    0.162    0.007    0.000
     137    0.438    0.394    0.000    0.000    0.000    0.000    0.000    0.161    0.007    0.000
     138    0.435    0.399    0.000    0.000    0.000    0.000    0.000    0.159    0.007    0.000
     139    0.432    0.403    0.000    0.000    0.000    0.000    0.000    0.158    0.007    0.000
     140    0.429    0.407    0.000    0.000    0.000    0.000    0.000    0.157    0.007    0.000
     141    0.426    0.411    0.000    0.000    0.000    0.000    0.000    0.156    0.007    0.000
     142    0.423    0.415    0.000    0.000    0.000    0.000    0.000    0.155    0.007    0.000
     143    0.420    0.420    0.000    0.000    0.000    0.000    0.000    0.154    0.007    0.000
     144    0.417    0.424    0.000    0.000    0.000    0.000    0.000    0.153    0.007    0.000
     145    0.414    0.428    0.000    0.000    0.000    0.000    0.000    0.152    0.007    0.000
     146    0.411    0.432    0.000    0.000    0.000    0.000    0.000    0.151    0.007    0.000
     147    0.408    0.435    0.000    0.000    0.000    0.000    0.000    0.150    0.007    0.000
     148    0.405    0.439    0.000    0.000    0.000    0.000    0.000    0.149    0.007    0.000
     149    0.403    0.443    0.000    0.000    0.000    0.000    0.000    0.148    0.007    0.000
     150    0.400    0.447    0.000    0.000    0.000    0.000    0.000    0.147    0.007    0.000
     151    0.397    0.450    0.000    0.000    0.000    0.000    0.000    0.146    0.007    0.000
     152    0.395    0.454    0.000    0.000    0.000    0.000    0.000    0.145    0.007    0.000
     153    0.392    0.458    0.000    0.000    0.000    0.000    0.000    0.144    0.007    0.000
     154    0.390    0.461    0.000    0.000    0.000    0.000    0.000    0.143    0.006    0.000
     155    0.387    0.465    0.000    0.000    0.000    0.000    0.000    0.142    0.006    0.000
     156    0.385    0.468    0.000    0.000    0.000    0.000    0.000    0.141    0.006    0.000
     157    0.382    0.471    0.000    0.000    0.000    0.000    0.000    0.140    0.006    0.000
     158    0.380    0.475    0.000    0.000    0.000    0.000    0.000    0.139    0.006    0.000
     159    0.377    0.478    0.000    0.000    0.000    0.000    0.000    0.138    0.006    0.000
     160    0.375    0.481    0.000    0.000    0.000    0.000    0.000    0.138    0.006    0.000
     161    0.373    0.484    0.000    0.000    0.000    0.000    0.000    0.137    0.006    0.000
     162    0.370    0.488    0.000    0.000    0.000    0.000    0.000    0.136    0.006    0.000
     163    0.368    0.491    0.000    0.000    0.000    0.000    0.000    0.135    0.006    0.000
     164    0.366    0.494    0.000    0.000    0.000    0.000    0.000    0.134    0.006    0.000
     165    0.364    0.497    0.000    0.000    0.000    0.000    0.000    0.133    0.006    0.000
     166    0.361    0.500    0.000    0.000    0.000    0.000    0.000    0.133    0.006    0.000
     167    0.359    0.503    0.000    0.000    0.000    0.000    0.000    0.132    0.006    0.000
     168    0.357    0.506    0.000    0.000    0.000    0.000    0.000    0.131    0.006    0.000
     169    0.355    0.509    0.000    0.000    0.000    0.000    0.000    0.130    0.006    0.000
     170    0.353    0.512    0.000    0.000    0.000    0.000    0.000    0.129    0.006    0.000
     171    0.351    0.515    0.000    0.000    0.000    0.000    0.000    0.129    0.006    0.000
     172    0.349    0.517    0.000    0.000    0.000    0.000    0.000    0.128    0.006    0.000
     173    0.347    0.520    0.000    0.000    0.000    0.000    0.000    0.127    0.006    0.000
     174    0.345    0.523    0.000    0.000    0.000    0.000    0.000    0.126    0.006    0.000
     175    0.343    0.526    0.000    0.000    0.000    0.000    0.000    0.126    0.006    0.000
     176    0.341    0.528    0.000    0.000    0.000    0.000    0.000    0.125    0.006    0.000
     177    0.339    0.531    0.000    0.000    0.000    0.000    0.000    0.124    0.006    0.000
     178    0.337    0.534    0.000    0.000    0.000    0.000    0.000    0.124    0.006    0.000
     179    0.335    0.536    0.000    0.000    0.000    0.000    0.000    0.123    0.006    0.000
     180    0.333    0.539    0.000    0.000    0.000    0.000    0.000    0.122    0.006    0.000
     181    0.331    0.541    0.000    0.000    0.000    0.000    0.000    0.122    0.006    0.000
     182    0.330    0.544    0.000    0.000    0.000    0.000    0.000    0.121    0.005    0.000
     183    0.328    0.546    0.000    0.000    0.000    0.000    0.000    0.120    0.005    0.000
     184    0.326    0.549    0.000    0.000    0.000    0.000    0.000    0.120    0.005    0.000
     185    0.324    0.551    0.000    0.000    0.000    0.000    0.000    0.119    0.005    0.000
     186    0.323    0.554    0.000    0.000    0.000    0.000    0.000    0.118    0.005    0.000
     187    0.321    0.556    0.000    0.000    0.000    0.000    0.000    0.118    0.005    0.000
     188    0.319    0.559    0.000    0.000    0.000    0.000    0.000    0.117    0.005    0.000
     189    0.317    0.561    0.000    0.000    0.000    0.000    0.000    0.116    0.005    0.000
